"identifier","start_date","motion:name","motion:number","sources:link:url","motion:document","legislative_session_id","result","counts:option:yes","counts:option:no","counts:option:abstain","number_of_people","present"
"32477","2014-11-26","procedurální návrh o přerušení tohoto zasedání ZHMP do 13.00 hodin   (Novotný V.)","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32477","1","fail","24","25","8","65","63"
"32479","2014-11-26","procedurální návrh o přerušení tohoto zasedání ZHMP do 13.30 hodin    (Udženija)","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32479","1","fail","23","28","7","65","63"
"32481","2014-11-26","procedurální návrh o přerušení tohoto zasedání ZHMP do 18.00 hodin s tím, že zasedání bude pokračovat i po 19.00 hodině   (Štěpánek P.)","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32481","1","pass","36","23","3","65","63"
"32483","2014-11-26","složení návrhového a volebního výboru ZHMP","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32483","1","pass","61","0","0","65","63"
"32485","2014-11-26","o návrhu programu jednání","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32485","1","pass","60","0","1","65","63"
"32487","2014-11-26","o průběhu a způsobu voleb","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32487","1","pass","63","0","0","65","63"
"32489","2014-11-26","K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy","1","Z-3082","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32489","1","pass","33","22","7","65","63"
"32491","2014-11-26","K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy","1","Z-3082","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32491","1","pass","33","8","20","65","62"
"32493","2014-11-26","K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy","1","Z-3082","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32493","1","pass","33","2","26","65","62"
"32495","2014-11-26","K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32495","1","pass","33","14","14","65","62"
